feature,mean_abs_shap,variant,model_family,training_run_id,artifact_version
num_yaml_files,0.058240985418561354,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
test_file_ratio,0.028758659184022484,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_dependencies,0.026932894376018316,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
avg_test_file_len,0.01694109293019385,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_sh_files,0.0160059509825775,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
repo_age_days,0.015196008259678631,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_test_files,0.014542585599722258,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
forks,0.01236103931100253,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
open_issues_count,0.012200246025815844,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
stars,0.012137342790825331,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
other_extensions_count,0.011091630996852179,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_py_files,0.010714456660315782,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_docs_files,0.010650098154378595,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
avg_docs_file_len,0.010164132981948877,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
avg_py_file_len,0.00933746218270927,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_js_files,0.00891755622560249,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
repo_size_kb,0.007916442382016234,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
avg_files_per_dir,0.007540177911364334,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_dirs,0.007334112040885942,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
has_src_dir,0.00715091662134543,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_json_files,0.006214176256747198,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
has_dedicated_test_dir,0.006010739662478664,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_ts_files,0.00589069024388373,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_files,0.005659214674744377,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_html_files,0.004242671782495382,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_css_files,0.004167564863001646,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
avg_nb_cell_count,0.002804786196162543,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
recent_activity_days,0.002192584763783386,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
has_docs_dir,0.00205066797977763,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
has_license,0.0011787119855603122,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_notebooks,0.0009080812982276337,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
has_scripts_dir,0.00016045682361783714,original,gradient_boosting,20260413_155156,20260413_155156_v1.0.1
num_yaml_files,3.906127446958359e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
repo_age_days,2.636606888763507e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
test_file_ratio,2.2410639605637456e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
avg_py_file_len,2.1777826937630086e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_docs_files,2.019931892467223e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_dependencies,1.7147651209849697e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_test_files,1.6018093246481884e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_sh_files,1.3290285755598874e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
avg_test_file_len,1.240688686047579e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_files,1.1646409386658248e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_dirs,1.0862486040860708e-17,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_py_files,9.952501604966468e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
repo_size_kb,9.037615671750784e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
num_js_files,7.879348938357363e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
avg_docs_file_len,7.273370274119006e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
other_extensions_count,5.418345532086829e-18,original,random_forest,20260413_155156,20260413_155156_v1.0.1
